"","year","site","area","box","recording_date","date_aprildays","sunrise","sunset","day_before_hatch","inc_start","inc_start_aprildays","first_offbout","activity_onset_time","activity_onset_abs","activity_onset_relative","chronotype","last_onbout_time","activity_end_abs","activity_end_relative","daylength","act_window","night_var","lognight_var","light_atnight","percentage_in","clutch_size","inc_length","hatching_date","hatchlings","avg_chickweight","var_chickweight","fledglings","meantemp","mintemp","maxtemp","sunrise_inc_start","sunset_inc_start","dawn_inc_start","dusk_inc_start","sunrise_inc_start_dec","sunset_inc_start_dec","nestbox_id","light_meter_average"
"22",2017,"cashel","Forest","81CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-14,"0005-05-19 23:58:45",35,"05/05/2017 05:05","05:05:00",305,-19,8.6,"05/05/2017 19:08",1148,-118,942,843,0.575319537,-0.240090878,0.3,51.04166667,8,734867,"19/05/2017",6,18.74,0.908,6,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"81",NA
"23",2017,"cashel","Forest","85CASH","10/05/2017",40,"10/05/2017 05:14","10/05/2017 21:16",-10,"0007-05-19 23:58:45",37,"10/05/2017 05:58","05:58:00",358,44,39,"10/05/2017 19:40",1180,-96,962,822,0.215960707,-0.665625259,0.33,86.25,6,734138,"20/05/2017",6,NA,NA,6,10.52624206,1.1,20.899,2017-05-07 05:21:48,2017-05-07 21:10:46,2017-05-07 04:34:47,2017-05-07 21:57:46,5.35,21.1666666666667,"85",NA
"24",2017,"cashel","Forest","89CASH","19/05/2017",49,"19/05/2017 04:57","19/05/2017 21:33",-5,"0010-05-19 23:58:45",40,"19/05/2017 05:56","05:56:00",356,59,65.66666667,"19/05/2017 19:50",1190,-103,996,834,0.093399784,-1.029654128,0.3,91.45833333,7,733046,"24/05/2017",6,NA,NA,0,11.10194551,0.6,17.01,2017-05-10 05:15:38,2017-05-10 21:16:44,2017-05-10 04:27:26,2017-05-10 22:04:55,5.25,21.2666666666667,"89",NA
"25",2017,"cashel","Forest","96CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-12,"0005-05-19 23:58:45",35,"05/05/2017 05:56","05:56:00",356,32,31.09090909,"05/05/2017 19:20",1160,-106,942,804,0.591984494,-0.227689669,0.32,68.54166667,9,734865,"17/05/2017",7,NA,NA,7,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"96",NA
"26",2017,"garscube","City","9GC","30/04/2017",30,"30/04/2017 05:35","30/04/2017 20:54",-6,"0023-04-19 23:58:45",23,"30/04/2017 06:06","06:06:00",366,31,24,"30/04/2017 19:09",1149,-105,919,783,0.075856827,-1.120005327,45.86,90.83333333,8,728310,"06/05/2017",5,NA,NA,0,11.9025609,8.1,16.104,2017-04-23 05:53:04,2017-04-23 20:40:01,2017-04-23 05:11:04,2017-04-23 21:22:01,5.88333333333333,20.6666666666667,"709",NA
"27",2017,"SCENE","Forest","310DL","12/05/2017",42,"12/05/2017 05:10","12/05/2017 21:20",-10,"0007-05-19 23:58:45",37,"12/05/2017 05:21","05:21:00",321,11,14.75,"12/05/2017 19:21",1161,-119,970,840,0.369184431,-0.432756622,0.36,84.58333333,5,734140,"22/05/2017",4,NA,NA,4,12.95327778,7.6,24.65,2017-05-07 05:21:48,2017-05-07 21:10:46,2017-05-07 04:34:47,2017-05-07 21:57:46,5.35,21.1666666666667,"310",NA
"28",2017,"SCENE","Forest","315DL","11/05/2017",41,"11/05/2017 05:12","11/05/2017 21:18",-13,"0011-05-19 23:58:45",41,"11/05/2017 05:00","05:00:00",300,-12,18.09090909,"11/05/2017 19:39",1179,-99,966,879,1.302149134,0.114660726,0.36,61.66666667,7,732681,"24/05/2017",7,NA,NA,0,12.68752183,0.3,31.834,2017-05-11 05:13:38,2017-05-11 21:18:41,2017-05-11 04:25:02,2017-05-11 22:07:18,5.21666666666667,21.3,"315",NA
"29",2017,"SCENE","Forest","317DL","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-12,"0005-05-19 23:58:45",35,"05/05/2017 05:06","05:06:00",306,-18,5,"05/05/2017 19:24",1164,-102,942,858,0.245459595,-0.610019987,0.38,60.625,7,734865,"17/05/2017",7,NA,NA,0,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"317",NA
"30",2017,"SCENE","Forest","318DL","03/05/2017",33,"03/05/2017 05:29","03/05/2017 21:02",-14,"0001-05-19 23:58:45",31,"03/05/2017 05:30","05:30:00",330,1,4.4,"03/05/2017 19:45",1185,-77,933,855,0.691047955,-0.160491814,0.38,48.125,10,736326,"17/05/2017",9,18.76666667,0.163333333,9,10.70833333,1.1,18.7,2017-05-01 05:34:52,2017-05-01 20:58:37,2017-05-01 04:50:02,2017-05-01 21:43:27,5.56666666666667,20.9666666666667,"318",NA
"31",2018,"cashel","Forest","4CASH","20/05/2018",50,"20/05/2018 04:56","20/05/2018 21:34",-6,"0010-05-19 23:58:45",40,"20/05/2018 05:33","05:33:00",333,37,49,"20/05/2018 19:09",1149,-145,998,816,0.101362557,-0.994122442,0.4,88.95833333,9,733413,"26/05/2018",9,18.97,0.43,9,11.88902632,10.8,13.973,2018-05-10 05:16:09,2018-05-10 21:16:13,2018-05-10 04:28:04,2018-05-10 22:04:18,5.26666666666667,21.2666666666667,"4",NA
"32",2018,"garscube","City","14GC","02/05/2018",32,"02/05/2018 05:31","02/05/2018 20:57",-12,"0002-05-19 23:58:45",32,"02/05/2018 05:50","05:50:00",350,19,22,"02/05/2018 17:20",1040,-217,926,690,4.487438076,0.651998469,22.59,85.20833333,5,736323,"14/05/2018",0,NA,NA,0,9.315354839,5.1,12.495,2018-05-02 05:32:57,2018-05-02 20:57:44,2018-05-02 04:48:19,2018-05-02 21:42:21,5.53333333333333,20.95,"714",NA
"33",2018,"SCENE","Forest","188PEN","11/05/2018",41,"11/05/2018 05:12","11/05/2018 21:18",-15,"0011-05-19 23:58:45",41,"11/05/2018 04:35","04:35:00",275,-37,8.333333333,"11/05/2018 19:08",1148,-130,966,873,0.68978992,-0.161283156,0.32,50.20833333,8,733048,"26/05/2018",6,NA,NA,6,9.933468254,4.9,13.473,2018-05-11 05:14:09,2018-05-11 21:18:11,2018-05-11 04:25:39,2018-05-11 22:06:41,5.23333333333333,21.3,"188",NA
"34",2018,"SCENE","Forest","316DL","17/05/2018",47,"17/05/2018 05:01","17/05/2018 21:29",-7,"0010-05-19 23:58:45",40,"17/05/2018 05:59","05:59:00",359,58,30.42857143,"17/05/2018 19:38",1178,-111,988,819,0.146680608,-0.833627299,0.38,83.95833333,9,733411,"24/05/2018",4,NA,NA,4,12.8504246,0.5,17.737,2018-05-10 05:16:09,2018-05-10 21:16:13,2018-05-10 04:28:04,2018-05-10 22:04:18,5.26666666666667,21.2666666666667,"316",NA
